session_id,query
27793,make sec
27793,make sick
26845,ok google start the morning with some french accordion music
46679,search youtube for a message to my ex girl
59907,where in my timers
137425,ok google call phoebe
137425,ok google whats 1 + 1
137425,27 * 3
182138,alexa set volume five
194796,when will it next rain
215947,can dogs eat chia seeds
29932,coles west pennant hills
212748,can you call my phone please
212748,no the earth 21
209193,ok google drive to ball point reserve
191456,can i wash a squishmallow
17836,how old is katy perry
91367,how fast are 5g networks
187782,is there any integration between google home and marital aids
191921,was michael jackson gay
229275,how old was tupac when he died
281696,blue room speaker
54497,what's 80% of 25000
47089,how many quarts are in a gallon
47089,how many penises are in a gallon
189472,morganton news
121931,how many legs does a crab have
44747,are chimpanzees and bonobos the same thing
44747,why do bonobos exist
44747,did jane goodall have a baby chimpanzee
44747,is hugo eric louis van lawick have chimpanzee
44747,was tarzan a real person
44747,was george of the jungle real
44747,can gorillas talk
133902,how old is thom yorke
41692,what's 5 / 8
41692,five
41692,what's 61.25 - 36.625
41692,what's 24.625 / 2
41692,what's 3125 as a fraction
134372,what's a cd bar
186449,weights set
186449,check the wi-fi
189398,charlie banana
213723,chicken cooking
70778,heading alexa something
70778,put kettle on sitting here
211463,24-hours
78384,12 x can find in a hobbit
107667,medium
266334,tomorrow i want to smoke on my own
25347,open camera
193139,number 3 entitled you
63814,the pictures that have the last time i posted them
63814,open hmrc
18402,what's the zombie film where the guy that's a zombie
18402,show me a picture of the guy from warm bodies
18402,show me a picture of yennefer and triss
148210,-100% white
268304,sweetheart
225727,what is turbo news now
225727,what is joe rogan's name
225727,what is joe biden's name
15851,eye palette
108983,hurt you like that
23016,11 stone in pounds
153113,define sweet
153113,define sweetheart
211396,when is the 4th of december
211396,when is the 8th of december
211396,how many days till christmas
211396,please give me three
211396,when i stop
211396,nearest co-op
100383,36 x 45%
37745,how many steps have i done today
37745,what happened on this day
67546,$8 in pounds
67546,can a woman be a freemason
254430,50 $50 in pounds
188406,is bread vegan
229826,what names are illegal baby names
232786,how many sugars does chips have
232786,how many sugars are in potatoes
232786,how many sugars are in potato chips
232344,temperature for tonight
189962,who did arsenal play today
71805,when is super bowl
71805,when is sea salt open
55243,313 hours in days
99196,weston fc football
230467,is sea salt open
186829,what's a cosmic you
186829,what is the definition of a cosmic year
197701,what foods can you find iodine
99088,what's miley cyrus's
99088,what's miley cyrus's net worth
130186,how can you tell when a snake plant needs water
130186,how can you tell if a snake plant needs water
145074,should you massage bio oil onto stretch marks
145340,how many millilitres are in an ounce
145340,what is 3.2 kg in pounds and ounces
145340,what is colic
261818,what is 140 lbs in stones and pounds
261818,what is 140 lbs in pounds
77846,show home screen
230201,when's the next day to be sunshine
230201,is june 5th a summer yes
288556,how many liters in a gallon
140539,how many quarts in 1 1/2 gal
140539,how many cups in a gallon
139324,20
150791,how fast can a cheetah run
261578,i think i will i like that
261578,one
